"date","total_ev_registrations"
"2015-01-01",176
"2015-02-01",181
"2015-03-01",220
"2015-04-01",170
"2015-05-01",189
"2015-06-01",287
"2015-07-01",379
"2015-08-01",708
"2015-09-01",970
"2015-10-01",1059
"2015-11-01",1241
"2015-12-01",2172
"2016-01-01",1930
"2016-02-01",2481
"2016-03-01",4488
"2016-04-01",3110
"2016-05-01",3966
"2016-06-01",5098
"2016-07-01",4363
"2016-08-01",4007
"2016-09-01",4161
"2016-10-01",6310
"2016-11-01",4882
"2016-12-01",4469
"2017-01-01",4564
"2017-02-01",4389
"2017-03-01",5974
"2017-04-01",5040
"2017-05-01",7021
"2017-06-01",7461
"2017-07-01",9007
"2017-08-01",9140
"2017-09-01",7716
"2017-10-01",7624
"2017-11-01",10002
"2017-12-01",9086
"2018-01-01",8959
"2018-02-01",7329
"2018-03-01",7658
"2018-04-01",7301
"2018-05-01",8224
"2018-06-01",8799
"2018-07-01",11336
"2018-08-01",11762
"2018-09-01",13562
"2018-10-01",14960
"2018-11-01",14093
"2018-12-01",15824
"2019-01-01",13367
"2019-02-01",12164
"2019-03-01",15115
"2019-04-01",11128
"2019-05-01",10021
"2019-06-01",11018
"2019-07-01",12467
"2019-08-01",13229
"2019-09-01",16110
"2019-10-01",15636
"2019-11-01",18964
"2019-12-01",16827
"2020-01-01",16792
"2020-02-01",16490
"2020-03-01",14021
"2020-04-01",960
"2020-05-01",1308
"2020-06-01",6472
"2020-07-01",7720
"2020-08-01",8427
"2020-09-01",11177
"2020-10-01",11380
"2020-11-01",13304
"2020-12-01",15729
"2021-01-01",16932
"2021-02-01",19902
"2021-03-01",27867
"2021-04-01",14887
"2021-05-01",3470
"2021-06-01",12104
"2021-07-01",27859
"2021-08-01",30658
"2021-09-01",36438
"2021-10-01",40833
"2021-11-01",44966
"2021-12-01",53630
"2022-01-01",51406
"2022-02-01",58002
"2022-03-01",82888
"2022-04-01",77477
"2022-05-01",69705
"2022-06-01",75690
"2022-07-01",80767
"2022-08-01",88931
"2022-09-01",94521
"2022-10-01",117386
"2022-11-01",121404
"2022-12-01",104316
"2023-01-01",102713
"2023-02-01",107133
"2023-03-01",140897
"2023-04-01",111355
"2023-05-01",158445
"2023-06-01",102639
"2023-07-01",116621
"2023-08-01",127184
"2023-09-01",128488
"2023-10-01",140331
"2023-11-01",154101
"2023-12-01",141863
"2024-01-01",145038
"2024-02-01",141735
"2024-03-01",209809
"2024-04-01",113340
"2024-05-01",123868
"2024-06-01",109301
"2024-07-01",127910
